Usuario,Comentarios
coringas,533
ozzraven,528
A_chinche_cinetico,379
ffuentesv2,279
proletarianpanzer,270
matydragon_20,264
Harkoncito,221
puduposter,190
Hanneman_213,189
DonPichulas34,177
Bl4nkface,175
BreakExpress420,159
luchoventas,159
JPZV,150
Lopr1621,149
CuyiGuaton,146
Shot-Statement-6772,144
inviernoruso,144
Johnny1392,143
riiott2,138
A-Wiley,134
gatoshico,133
Solo1simio,132
leongranizo,123
Agente_del_Gobierno,119
Paltamachine,115
guillermotor,109
FeanDoe,108
Grim0508,108
Blubari,106
MariaJoseBlanchester,103
Educational-Maximum3,101
SaintTomasPepe,100
OozingPositron,94
xascoberto,93
ClonazepAlt,91
maddowizardoo,90
KangrejoMan,90
bolmer,87
SanFederico,87
CantThink_ANick,84
Cmcont,83
macana144,83
sedentarybird,74
Inadaptadite,74
unatarde,73
dkease,71
Lobsterun,71
Cahums,70
nekoql,69
DonPirexia,66
All-Your-Base,64
BeeMovieApologist,63
dgo792,61
Sopaipisaurio,60
Tanqueavapor,60
yogurenescabeche,59
funeralbaloons,58
austrohorologium,58
MinaDawngate,57
fetuccini_slayer,57
Degoguite-real,56
i-love-cripi,55
cafeengrano,54
Silent-Ad-4434,54
MCRS-Sabre,51
ElweonIsekai,51
WhiteMeovv,49
Cucho-Lambretta,49
Usuarioundostres,48
Zetsubou__666,47
CepilloDental,46
AkimCyPunK,46
pitter_patterclock,45
aram855,45
6d656c6c6f,45
skibo_,45
Leitholddd,45
una__paloma,43
Potential_Peanut3907,42
Heavenlydubu,41
xzinik,41
pan_con_queso_gouda,41
inteligenteperoweon,40
way2menace,40
threeManStack,40
mmmmmOrito,39
viruta2021,38
aChileanDude,38
Tigre_Obeso,37
laquecuelga,36
BilleteDe5lucas,36
Gabriel_AEROSPACE,36
ipurge123,36
Sheppardino,36
Aliwen_,36
MrTonino,35
TryHarderino,35
Antares_de_la_Luz,35
loica_enojada,34
bizarref00l,34
papuanuevaguinea,33
leviatanCL,33
Lo_Innombrable,32
97_mechanix,32
BrocoLee,31
Immediate-Ad4411,31
Significant-Taro-601,31
chosen_carrot,31
Pesebreqlo,30
Frohslol,30
tazonconcafe,30
chiledoesntexist,30
EstablishmentNo5132,28
ken2y,27
JStrahalm,27
zenkeep,27
Heoro-Mazgraev,27
Key_Carpenter5962,27
Metahater22,26
chalecomono,26
kweenofhell,26
moreAidsplease42,26
brown-guitar,26
