Usuario,Comentarios
ozzraven,454
Johnny1392,269
Paltamachine,205
matydragon_20,181
coringas,180
Grim0508,178
Lopr1621,175
A_chinche_cinetico,168
KangrejoMan,167
Harkoncito,164
TowerSan,149
Cabg10,141
luchoventas,139
maddowizardoo,138
FinchoDS,132
macana144,130
All-Your-Base,123
ctuna89,119
JPZV,117
inviernoruso,117
VomitingDadsCum,116
FeanDoe,113
Agente-Libre,110
L_I_L_B_O_A_T_4_2_0,106
SaintTomasPepe,106
funeralbaloons,104
OozingPositron,103
Hanneman_213,97
A-Wiley,97
proletarianpanzer,95
nekoql,94
SanFederico,94
MariaJoseBlanchester,92
sedentarybird,91
Cucho-Lambretta,85
Bl4nkface,83
guillermotor,82
xascoberto,80
ClonazepAlt,77
Wise-Medicine-2191,74
WhiteMeovv,73
Blubari,72
loica_enojada,67
fetuccini_slayer,67
AddictiveADHD,65
Otaninn,64
shakaritahermandad,64
Gabriel_AEROSPACE,62
aram855,62
Cahums,62
bolmer,61
sfl_,60
Antares_de_la_Luz,59
gatoshico,59
Educational-Maximum3,58
Nefernetka,57
Kapo_de_Kiwiiii,56
Zetsubou__666,56
mmmmmOrito,56
Degoguite-real,53
Mr-Black_,52
CuyiGuaton,52
leviatanCL,51
Lo_Innombrable,50
BeeMovieApologist,49
Shot-Statement-6772,48
Gatosoo,48
Tanqueavapor,48
JuzoMegure,47
cafeengrano,47
yogurenescabeche,47
sedapemu,46
comadre_lola,46
zenkeep,46
dkease,43
puduposter,43
Sopaipisaurio,39
ctccl,39
Milcaos,38
97_mechanix,38
MinaDawngate,38
malafar,37
FrivolousCandle,37
DiegoIRR,36
Fine-Advantage5693,36
Putotunel,36
HombreContrafactual,36
StatisticianLivid555,35
zurizuricata,34
Radratrad,34
Pesebreqlo,34
marraquetaconpebre,33
EstablishmentNo5132,33
darthdeckard,33
Tigre_Obeso,32
Soulless911,32
comoaprender,32
FLB1,31
Shingocrates,31
laquecuelga,30
International_Ad7264,29
noff01,29
una__paloma,29
viruta2021,28
DieCastle,28
moreAidsplease42,27
StrangeSemiticLatin2,27
Frohslol,26
Solo1simio,25
yaiay,25
chiledoesntexist,25
chosen_carrot,25
Significant-Taro-601,25
brown-guitar,24
pitter_patterclock,24
Sheppardino,24
xzinik,24
DonPichulas34,23
ph1406,23
Tierrrez,22
abcderata,21
SLS-Dagger,21
kweenofhell,21
GeorgieBoyAdvance,21
Mrquest_10293847,21
sirenel,21
pierdesporfumar,20
felagaund,20
InfinityRoundCycle,20
chanchoextremo,20
XellosWizz,20
Heoro-Mazgraev,19
riiott2,19
andresmlna,19
chalecomono,19
palmreldritch,19
thealterlion,19
Cuenta64,19
porfiacontilde,19
iloveseries_,18
kurob4,18
PanFrito,18
BrocoLee,18
kumo_tea,18
bopboph,18
shap2,18
Joze525,18
Opazo-cl,18
Choice__Technician,18
way2menace,18
huachah1sterica,18
Tarbolinx,17
HansWolken,17
mr_homerone,17
KingFenrir,17
notquiteteemo,17
RaccoonD,17
Shalashqska,16
rompementes,16
ferando855,16
Miguelonchox,16
dgo792,16
NASV-19,16
_first_world_trash_,16
blackbunny09,16
Eiol01,15
MrTonino,15
kardashev,15
DonPirexia,15
ElSydBarrett,15
Kleint_Aristotelicus,15
aprenderanadar,15
cogollento,15
Cl_z0mb1e,15
beswervie,14
N4x00,14
Javonetor,14
Arse_Nicko,14
TryHarderino,14
No-Reading-7395,14
51010R,14
Desprolijo,14
rChileRandomBot,13
EllaFueMalaConmigo,13
disamachadwick69,13
Patoqta,13
Yennefer1991,13
PizzaAstronaut,13
synthwaves8899,12
PaltaDoctor,12
andyvc97,12
Sakura285,12
ph21,12
jipjapjup,12
Mod4rchive,12
charlybadulaque,12
__gonzalof,12
krepts33,12
papuanuevaguinea,11
tazonconcafe,11
Silent-Ad-4434,11
Fidozip,11
ichox,11
Aliwen_,11
JStrahalm,11
inteligenteperoweon,11
AtunEnLomitos,11
i-love-cripi,11
ipurge123,11
MoabChile,11
FullSatisfaction6359,11
kingdraven,11
slaucsap,11
MatvsGal17,11
liceo-municipal,10
Metahater22,10
nadaparacomer,10
creativityNAME,10
RandyCoxburn,10
LagartoJuansho,10
lolochicle3,10
puramentira,10
ElweonIsekai,10
kamikazewam,10
Giorno-kun,10
Massive_Implement_53,10
No-Supermarket-1312,10
juanuchoo,9
nevados_de_chillan,9
SeptemFan,9
0x00cl,9
GinTonicWithCucumber,9
AutonomieSV,9
atunmayo,9
Desid1a,9
TsubasaIre,9
ConsciousPain9,9
Aggressive_Sweet1417,9
that_lonely_bi,9
_donnadie_,9
alvarorc1,9
cookie_addicted,9
Xaerin,9
kcxlife,9
Ktion,9
Juanin_elPinfloi,9
60nz,8
Fantastic_Salary_349,8
fukami-rose,8
chkdsk_7,8
agnostic_ent,8
6d656c6c6f,8
zimmerxp,8
PeriRana,8
RecommendationOdd551,8
CMuenzen,8
TioAngustia,8
canthinkone,8
ProximoPresidente,8
blindmodz,8
XJpablo,8
quenchy-cactus-juice,8
MausMaus1,8
NNorAl,8
CLobo,8
freckledbody,8
gidive,7
TMCamilo,7
agitazione,7
Accomplished-Job-604,7
SonMauri,7
chalodesune,7
kontemplador,7
RabidGuillotine,7
Shixelshit,7
allhailpalta,7
Edgefish,7
sebakjal,7
FitPrune5579,7
flores_amarillas,7
jungkooksalt,7
matuu_,7
Albertonity,7
TremendoAfro,7
VitoDeLarge,7
Manomana-cl,7
murloc_reporonga,7
ken2y,7
Key_Carpenter5962,7
Baljeet89325,6
Glittering_Pumpkin24,6
Green-Cucumber-2232,6
ImaRipeavocado,6
A-niWare,6
maxiloff,6
luxrayo,6
naxomaster,6
anemo-ne,6
austrohorologium,6
RoIgn92,6
Aviskr,6
KigalnGin,6
Gloomy-Clothes587,6
comoagarretantovuelo,6
Chilean_bugsecks,6
NoMeEncuentro,6
Neither-Raise,6
benjarp,6
Suspicious_Aerie1234,6
TanksInRampage,6
renewedanarchist,6
nagablue,6
CreazySapete,6
Sealra_,6
1125101141815010995,6
mahinostroza,6
how-about-maybe,6
---___________----,6
Rooftop_marraqueta,6
Last-Post6677,5
Blaustriker,5
il_Nenek,5
LaNacha23,5
Inevitable_Lopsided,5
JackMercerR,5
LoncoGomez,5
Apprehensive_Ship701,5
Tecnocazuela,5
Manuu8192,5
TukamiD,5
motesinhuesillo,5
Thr0w_4w4n0n,5
RMardonesQ,5
_Villaintina_,5
hombrx,5
lynternaverde,5
lulaloops,5
leaf-house,5
nentrist,5
Ambiguedades,5
tatemblando,5
tresclow,5
chacity,5
Hormoaningg,5
_Delain_,5
random1-8,5
Euclid_Class_Object,5
yelo2,5
Dogo-cat,5
Nanenina,5
Lobsterun,5
WebitoCrudoo,5
corderituwu,5
Funaki---,5
friedeggforbreakfast,5
alaperse,5
SonKaiser,5
bizarref00l,5
DartVanZiegfeld,5
Khaeliz,5
RockyHeart,5
tanidani6,4
MutedMime05,4
Long_Stress_8018,4
javier_aeoa,4
Sea-Sink7542,4
StandNenUser,4
heroeNK25,4
NioZero,4
Ojosrojosxsiempre,4
Insania2014,4
AkimCyPunK,4
Tuna_Melt_Sandwich,4
calamicas,4
quierouncigarro,4
Franreyesalcain,4
_Patogeno_,4
3v1lrob07,4
_Vespasian_,4
TheJFGB93,4
camilincamilero,4
Maur0,4
Andry_18,4
kooparefugee,4
NeverOriginal123,4
Carlangas3,4
Legal_Wasabi_813,4
Lemon_pie_u,4
Aleshiro,4
BufferUnderpants,4
Mari_Chiweu,4
Andi_Jones,4
Omlesss,4
Nairiy,4
OhHeyMark_,4
vdaiep,4
WhoKnowsWhatMatters,4
UgaTEC,4
unatarde,4
cammilo96,4
G4130,4
Saiko_uwu,4
IronStrange7,4
Broscience_,4
Sea_Comparison3089,4
Anibe,4
Nachho,4
HolyMollywacamole,4
LudeusGreyrat,4
AlexandraProudhon,4
Spirited_Profile8571,4
AxelLAG,4
Charlotte_Vincent,4
koopcl,4
penalanulado,4
lepermessiah00,4
millvaa,4
tecitoearlgray,4
emp_sisterfister,4
Winterxdude,4
Miserable-Ad4529,4
LordAsdf,4
Aro769,4
Pudutr0n,4
sin_ese,4
euhna,4
Vichox,4
franzcoz,4
Kiefer__,4
Sinejo,4
Your321,4
rbbx_,4
Boziik,4
NekroBoy99,4
trash_smoke,3
Manzananuez,3
Stock_Ad_,3
Superb-Bus-2709,3
talkaone,3
nafflex,3
ElFlaco2,3
Sujeto_Promedio,3
Beetle_05,3
Fulcrum-5,3
ah-squalo,3
ravec4,3
GrowDragMat,3
danielfuentes89,3
Fun-Moose-4676,3
Acrobatic-Artist9730,3
0scarface,3
Neko_Shogun,3
skibo_,3
StructureFormer,3
aChileanDude,3
leche-dsps-cereal,3
narkov24,3
ReverseCaptioningBot,3
paposky,3
Gudrobilk,3
Zilenox_cl,3
Paulol1,3
MellaDios,3
CepilloDental,3
Xamthos,3
ClotpolesAndWarlocks,3
Baltiadicto,3
Txstage,3
terba123,3
nut_your_butt,3
AmputatorBot,3
WavyHairedPenguin,3
rhapsowacho,3
George_DelaSelva,3
skancerous,3
pipexclon,3
Temeos23,3
Talgoporta,3
ikrish,3
ivan_xd,3
moriohcitizen8,3
DontKnowHowToEnglish,3
Good_Somewhere2283,3
CrisArmy,3
Chileno_Maricon,3
WhoIsTomodachi,3
babylon68,3
Bannedfromplebbit,3
MB_CC_Manx,3
Fast_Baseball_5431,3
jvleminc,3
hazweio,3
Axxyw,3
jamr1015,3
PepeluchoExplorador,3
Ruin-Delicious,3
Mortryx,3
Trip_Away,3
Karrnel,3
Illustrious-Ad3170,3
georgeontrails,3
PienNoises,3
QultrosSanhattan,3
Mononen12,3
symras,3
DDMendoza95,3
Pia_moo,3
DrRodo,3
ElPabloHablo,3
ByGib,3
DrHikovich,3
Lain_u,3
Mainfric,3
Fenris_Ulv,3
ConondrumDeTitanita,3
LZV590,3
mariox103,2
Chuchuca,2
ChilenoDepresivo,2
FatFingerHelperBot,2
Elpesfeto98,2
patonieto,2
n1cj,2
Vim_owlcat,2
DaDizzy,2
raulazo_m,2
drog27,2
leongranizo,2
yoshingui,2
vxxm,2
amada_x_los_dioses,2
calio,2
_oshee,2
BeWolk,2
le-reservoir,2
Murky-Expression6455,2
Hunterfox35,2
Electrical-Hyena2313,2
Nach128,2
Tero_from_Chile,2
misthios98,2
leamd,2
RRRPablo,2
pieroywea,2
soytuneopet,2
masfruta,2
paimon_paimon,2
julian_flores,2
Kimosaurus,2
maticl,2
Maite25,2
Kaminoan,2
Cascbondree,2
anibia,2
Scary_Troopers_501,2
flyingdoggos,2
nimunozo,2
elfakerdpuente,2
JKrand,2
Pblsky_la_eminencia,2
Razorlines,2
JVicu,2
lowestElo,2
zafrada,2
mistico-s,2
kei2000,2
Nemesis2299,2
wof759,2
Lonely-Object-8620,2
Mr_Ganger,2
BorderLove89,2
Mezgal,2
radriazo,2
DragonPapaFrita,2
bi_game,2
kaybedumbaf,2
No_Designer_6732,2
Agestidiros,2
ulrish,2
wndelpdf,2
gicatalan,2
te_con_jengibre,2
Cottorums,2
ConfidentlyNotABot,2
neko___dmc,2
dkj-,2
onemore_thanother,2
Alert-Equivalent1392,2
Quetetris,2
ElmerFigueroa,2
Neuquenido,2
Upset-Confusion6717,2
Cikkicic19,2
realidadg,2
oakjf,2
DosseD1,2
Bhors,2
ky2k,2
Luck_Is_My_Talent,2
ConfusedHommo,2
fnix6,2
yerkx_cg,2
raakkvkov,2
Conjo_,2
Felaipes,2
ghostman20,2
Contertulio,2
Teletin,2
musicatito,2
KaijuRex64,2
Crisss30,2
SrHuev0n,2
nawalrage,2
Haskmell,2
sl07h1,2
TuIaBocaAncha,2
Delirium_Cap,2
Zimtquai,2
eowynTA3019,2
bufarreti,2
Pameliwis,2
SnoopingSauce,2
Theiniels,2
PapayaSonic,2
Raingaze,2
feilite,2
Francisco_Ojeda,2
Jamed94,2
spirotetramat2,2
FuckGCL,2
Mr_Agu,2
Icy_Jury_126,2
kraysak,2
kameluca,2
MundaneYoghurt,2
Bazerosi,2
uchb_rat,2
JokefuT,2
Chilean_Chargaff,2
PM_UR_AHEGAO_SELFIE,2
CitizenReus,2
duna_cl,2
chettos_fan,2
bob_patino,2
Perriwashi,1
Cyclo92,1
neigeh,1
Garcix,1
gaspi_100,1
twitchsopamanxx,1
Expert_Measurement_9,1
n0vylif3,1
Tiny-Cartographer-36,1
79BEEVL,1
Lukanight,1
TwoChordsSong,1
mecargai,1
Diemeteus,1
Jotapreciado,1
Marraqueta_Fria,1
masterlince,1
Roboragi,1
Sleepy_Eyes-,1
GodlikeCat,1
Felka_omg,1
cojojoyan,1
MarraquetaStyle,1
Encrypted-Doggo,1
P-Pablo,1
Suitable_Isopod6285,1
Zeroxus,1
Wskar,1
Skulltcarretilla,1
supera8y,1
Foxslink,1
Kazewe,1
El_Dandy758,1
RussoCrow,1
pamparapampam,1
zokernet,1
Black_caat,1
sneakpeekbot,1
Zero_to_the_left,1
nonoen72,1
NachoMimiCami,1
Dairunt,1
No_Contribution_6659,1
iKloxx,1
IncompetenteMente,1
ruberon,1
RemindMeBot,1
ean505,1
DuckDaniel,1
RichiardoCL,1
Knightqaq123,1
caszuela,1
Goltana,1
MataUwUs,1
Macrofita,1
archanodoid,1
Badass_Doctor,1
pyreticpeepsta,1
NoSoyUn_Robot,1
DonMakafi,1
punker25,1
_reverse_noraa_,1
Towrp,1
percyxpig,1
MatiMarchant,1
Educational_News_479,1
StonedDogg,1
imunderhousearrest,1
Pure_1m4ginati0n,1
Sewaz,1
Masuramaru,1
elsrda,1
Pankekeqlao,1
Sopapiglobo_ng,1
felipe82,1
