Usuario,Comentarios
ozzraven,470
Grim0508,299
A_chinche_cinetico,267
matydragon_20,240
KangrejoMan,215
Paltamachine,198
MatvsGal17,198
riiott2,190
Harkoncito,190
austrohorologium,181
Hanneman_213,164
Agente-Libre,157
MariaJoseBlanchester,154
Cabg10,151
TowerSan,146
Lopr1621,139
ctuna89,138
Shot-Statement-6772,128
Cahums,125
macana144,125
Johnny1392,116
FeanDoe,113
JPZV,108
Bl4nkface,106
xascoberto,106
luchoventas,104
coringas,103
ffuentesv2,102
sedentarybird,95
Putotunel,93
inviernoruso,92
sfl_,90
funeralbaloons,89
L_I_L_B_O_A_T_4_2_0,89
maddowizardoo,87
OozingPositron,87
Wise-Medicine-2191,87
All-Your-Base,80
Lo_Innombrable,77
MinaDawngate,76
AddictiveADHD,74
proletarianpanzer,73
A-Wiley,73
Silent-Ad-4434,71
shakaritahermandad,71
Heoro-Mazgraev,71
JuzoMegure,69
dkease,68
SaintTomasPepe,67
CuyiGuaton,66
Blubari,66
nekoql,66
Degoguite-real,65
FinchoDS,64
ClonazepAlt,63
puduposter,63
Significant-Taro-601,62
laquecuelga,61
fetuccini_slayer,60
guillermotor,60
Kapo_de_Kiwiiii,60
cafeengrano,59
WhiteMeovv,58
BeeMovieApologist,57
Mr-Black_,56
EstablishmentNo5132,54
Cucho-Lambretta,53
bolmer,52
DiegoIRR,52
marraquetaconpebre,50
leviatanCL,50
comadre_lola,49
Educational-Maximum3,48
Gatosoo,48
Otaninn,47
porfiacontilde,47
XJpablo,47
Solo1simio,46
Tigre_Obeso,45
DonPichulas34,45
dgo792,45
DrHikovich,44
AkimCyPunK,42
loica_enojada,40
Tanqueavapor,40
ctccl,39
VomitingDadsCum,39
blackbunny09,37
Shingocrates,37
SanFederico,37
papuanuevaguinea,37
zenkeep,36
gatoshico,35
aram855,35
noff01,35
yogurenescabeche,35
pitter_patterclock,34
LittlePhillyOne,34
Soulless911,34
Sopaipisaurio,32
ipurge123,32
Milcaos,32
Zetsubou__666,32
Antares_de_la_Luz,32
felagaund,31
97_mechanix,31
tazonconcafe,30
ElmerFigueroa,30
Gabriel_AEROSPACE,29
6d656c6c6f,29
CantThink_ANick,29
andyvc97,29
xzinik,29
juanuchoo,28
kurob4,28
viruta2021,28
Miguelonchox,28
Edgefish,28
StrangeSemiticLatin2,27
Sheppardino,26
pamparapampam,24
Pudutr0n,24
Heavenlydubu,24
AtunEnLomitos,23
ph1406,23
flores_amarillas,23
okelay,23
comoaprender,23
abcderata,22
Kleint_Aristotelicus,22
GeorgieBoyAdvance,21
Franreyesalcain,21
FLB1,21
pierdesporfumar,21
murloc_reporonga,20
Mediocre_Drive5761,20
Contertulio,20
CepilloDental,20
darthdeckard,20
Patoqta,20
beswervie,20
GrowDragMat,20
SLS-Dagger,19
ImaRipeavocado,19
Joze525,19
Mrquest_10293847,19
_first_world_trash_,19
PeriRana,18
mmmmmOrito,18
inteligenteperoweon,18
Yennefer1991,17
Tierrrez,17
bopboph,17
HansWolken,17
thealterlion,17
that_lonely_bi,17
sedapemu,17
DonPirexia,17
