Usuario,Comentarios
A_chinche_cinetico,414
coringas,410
matydragon_20,359
sedapemu,335
Harkoncito,296
Paltamachine,279
ffuentesv2,207
End_Live1640,203
Solo1simio,181
CuyiGuaton,178
Lopr1621,177
DonPichulas34,176
macana144,169
xascoberto,167
Shot-Statement-6772,161
ClonazepAlt,160
Cahums,149
Bl4nkface,142
BreakExpress420,138
JPZV,134
OozingPositron,131
gatoshico,131
Hanneman_213,125
Educational-Maximum3,121
proletarianpanzer,121
admiral7311,121
All-Your-Base,113
Heoro-Mazgraev,112
mmmmmOrito,112
Johnny1392,111
Agente_del_Gobierno,110
leongranizo,109
fetuccini_slayer,107
sedentarybird,104
maddowizardoo,102
A-Wiley,100
ozzraven,99
dgo792,96
bolmer,93
dkease,89
StrangeSemiticLatin2,88
L_I_L_B_O_A_T_4_2_0,83
Blubari,81
MCRS-Sabre,81
Otaninn,81
xzinik,81
Putotunel,80
guillermotor,80
funeralbaloons,79
aram855,76
nekoql,76
serastronomical,74
threeManStack,74
riiott2,72
DonPirexia,71
PanFrito,69
SaintTomasPepe,67
Cucho-Lambretta,66
MariaJoseBlanchester,65
Leitholddd,64
ElweonIsekai,63
Gabriel_AEROSPACE,62
papuanuevaguinea,60
Significant-Taro-601,60
BeeMovieApologist,59
luchoventas,59
viruta2021,58
inviernoruso,58
97_mechanix,57
CantThink_ANick,57
leviatanCL,57
Gatosoo,56
FeanDoe,50
Antares_de_la_Luz,50
austrohorologium,49
Cmcont,49
EstablishmentNo5132,49
Key_Carpenter5962,48
Additional_Top7348,48
Lo_Innombrable,47
Cuenta64,47
MinaDawngate,47
Tanqueavapor,46
ctccl,45
una__paloma,45
Grim0508,45
RandyCoxburn,44
Ktion,43
Sheppardino,43
symras,43
CepilloDental,42
Degoguite-real,42
MrTonino,40
Sopaipisaurio,39
mr_homerone,38
Tigre_Obeso,37
KangrejoMan,37
TryHarderino,37
zenkeep,36
SanFederico,36
Heavenlydubu,36
cafeengrano,36
Kapo_de_Kiwiiii,36
ken2y,35
kardashev,35
JoshuaHipnos,35
AddictiveADHD,34
pan_con_queso_gouda,34
Soulless911,34
BeWolk,34
XJpablo,34
Mrquest_10293847,32
flores_amarillas,32
WhiteMeovv,32
laquecuelga,32
that_lonely_bi,32
Miguelonchox,31
Inadaptadite,31
Fidozip,30
nevados_de_chillan,30
shakaritahermandad,30
60nz,29
way2menace,29
moreAidsplease42,28
yaiay,28
BufferUnderpants,28
PeriRana,28
AkimCyPunK,28
Iwannastoprn,28
International_Ad7264,27
Contertulio,27
HansWolken,27
HolyMollywacamole,27
DiegoIRR,27
Tarbolinx,26
FMSquotes,26
Metahater22,25
blackbunny09,25
jipjapjup,25
GeorgieBoyAdvance,25
loica_enojada,24
i-love-cripi,24
GinTonicWithCucumber,24
InfinityRoundCycle,24
skibo_,24
chalecomono,23
Pudutr0n,23
BilleteDe5lucas,23
ruberon,23
BrocoLee,23
mayocaserarica,23
yogurenescabeche,23
nabets3,22
naxomaster,22
ph1406,22
darthdeckard,22
chiledoesntexist,22
nadaparacomer,22
TheSeaSiren,22
Nairiy,21
Joze525,21
Drunken_123,21
_donnadie_,21
Elchalecodelana,21
Luck_Is_My_Talent,21
kurob4,20
RabidGuillotine,20
Kaminoan,20
ipurge123,20
chosen_carrot,20
Thick-Bit2,20
Ayax28,20
andyvc97,20
atunmayo,19
Replicant_Nexus8,19
juanuchoo,19
6d656c6c6f,19
888ecoP,18
Tierrrez,17
agitazione,17
RNGesus_cultist,17
Silent-Ad-4434,17
_calicocats,16
inteligenteperoweon,16
RaulFigueroa_bot,16
Zetsubou__666,16
ivan_xd,16
canthinkone,16
Kondor0,16
bluedream_miriel,16
andresmlna,15
ElMage21,15
aChileanDude,15
Potential_Peanut3907,15
LagartoJuansho,15
ProximoPresidente,15
tazonconcafe,15
Rooftop_marraqueta,15
Aliwen_,15
FaithlessnessDry1839,15
aleliu,15
userN191892,14
gidive,14
comadre_lola,14
ImaRipeavocado,14
MatvsGal17,14
Conjo_,14
Albatrodelejos,14
heroeNK25,14
Immediate-Ad4411,14
unatarde,14
NNorAl,13
Alonsuro,13
leaf-house,13
kaleidoscopic--mind,13
Hnk-Kenshiro,13
Javonetor,13
QultrosSanhattan,13
comoaprender,13
pierdesporfumar,13
ElSobe,13
thealterlion,12
okelay,12
sfl_,12
Nachho,12
chanchoextremo,12
ABuddhistMelomaniac,12
nabetsEz,12
iloveseries_,12
cookie_addicted,12
Edofate,11
sebakjal,11
Franreyesalcain,11
DieCastle,11
Andi_Jones,11
lamaisondieu,11
IceLovey,10
ElFlaco2,10
aprenderanadar,10
Maite25,10
Carlangas3,10
LoncoGomez,10
Charlotte_Vincent,10
beswervie,10
Kazewe,10
Giorno-kun,10
AlexandraProudhon,10
WhoKnowsWhatMatters,10
Txstage,10
Maur0,10
_Delain_,10
chkdsk_7,10
Shalashqska,10
1125101141815010995,10
verycrafty,10
brown-guitar,10
kaybedumbaf,10
friedeggforbreakfast,10
Acrobatic-Artist9730,10
DontKnowHowToEnglish,10
truth_sentinell,10
Tuna_Melt_Sandwich,9
Tecnocazuela,9
Thc500,9
WavyHairedPenguin,9
sirenel,9
Edgefish,9
undergroundbynature,9
SonKaiser,9
copitamenstrual,9
kontemplador,9
julian_flores,9
ferando855,9
fukami-rose,9
leamd,9
paposky,9
Kambrica,9
anodien,9
Kleint_Aristotelicus,9
fsimperial,9
Azzaeta,9
Suffocated-Soul-,9
TremendoAfro,8
zafrada,8
FrugeleDealer,8
edo_asc,8
