Usuario,Comentarios
coringas,172
Paltamachine,125
A_chinche_cinetico,98
ozzraven,76
Educational-Maximum3,70
MariaJoseBlanchester,67
Aluneth_,66
Hanneman_213,63
SaintTomasPepe,62
Cmcont,60
Solo1simio,56
ClonazepAlt,55
Shot-Statement-6772,54
macana144,54
End_Live1640,52
Gabriel_AEROSPACE,51
FeanDoe,47
Bl4nkface,44
leongranizo,41
matydragon_20,40
Cahums,39
JPZV,39
BreakExpress420,38
Agente_del_Gobierno,36
Cucho-Lambretta,36
riiott2,35
funeralbaloons,35
inviernoruso,33
Harkoncito,32
ffuentesv2,32
Heavenlydubu,31
Heoro-Mazgraev,31
Lopr1621,29
MatvsGal17,28
DiegoIRR,26
Putotunel,25
Potential_Peanut3907,24
DonPichulas34,24
aram855,24
CuyiGuaton,24
KangrejoMan,23
All-Your-Base,23
Metahater22,23
cafeengrano,23
A-Wiley,20
sedapemu,20
Johnny1392,19
sirenel,19
Otaninn,19
DonPirexia,19
fetuccini_slayer,18
FMSquotes,18
Nairiy,17
xascoberto,17
puduposter,17
FinchoDS,17
proletarianpanzer,17
dgo792,16
BeeMovieApologist,16
Tanqueavapor,16
flores_amarillas,16
No-Supermarket-1312,16
Pudutr0n,15
AkimCyPunK,15
Tigre_Obeso,15
Grim0508,15
xzinik,14
ph1406,14
dkease,14
serastronomical,14
Lo_Innombrable,14
ipurge123,14
Massive_Implement_53,13
Sheppardino,13
Significant-Taro-601,13
sedentarybird,13
koopcl,13
nekoql,12
MrTonino,12
ivan_xd,12
darthdeckard,12
QultrosSanhattan,12
OozingPositron,12
way2menace,12
CepilloDental,11
cookie_addicted,11
pan_con_queso_gouda,11
Mr-Black_,10
Leitholddd,10
Ktion,10
skibo_,10
hayunamoscaenmipieza,10
ruberon,10
PanFrito,10
laquecuelga,10
ronconcoca,10
ctccl,9
guillermotor,9
BilleteDe5lucas,9
mmmmmOrito,9
Soulless911,9
gatoshico,9
leviatanCL,9
Zetsubou__666,9
_donnadie_,8
soelita,8
DrHikovich,8
i-love-cripi,8
Gatosoo,8
ProximoPresidente,8
PervMd,8
Replicant_Nexus8,8
andyvc97,8
bolmer,8
comoaprender,8
TryHarderino,8
Benja0711,8
loica_enojada,7
Sopaipisaurio,7
SanFederico,7
MoabChile,7
Silent-Ad-4434,7
naxomaster,7
aChileanDude,7
aprenderanadar,7
Charlotte_Vincent,7
Razorlines,7
MercyMain04,7
Accomplished-Job-604,7
97_mechanix,6
TheMoverOfPlanets,6
WhiteMeovv,6
60nz,6
ken2y,6
Satanas_Subtropical,6
kaleidoscopic--mind,6
Immediate-Ad4411,6
Mrquest_10293847,6
Antares_de_la_Luz,5
BufferUnderpants,5
shakaritahermandad,5
Nach128,5
andresmlna,5
thelilpin,5
Oveja-Negra,5
Kaminoan,5
FLB1,5
Carlangas3,5
Sopapiglobo_ng,5
DieCastle,5
ElSydBarrett,5
Kazewe,5
malafar,5
cammilo96,5
TrippaSeca,5
lowestElo,5
HansWolken,5
MrGuantesillo,5
SholOne,4
Pesebreqlo,4
zenkeep,4
comadre_lola,4
HolyMollywacamole,4
Joze525,4
drlcmaster,4
charlybadulaque,4
ferando855,4
Franreyesalcain,4
juanuchoo,4
pecerre,4
Mister_Avocado2412,4
ThatUsernameIsNaked,4
papuanuevaguinea,4
elmernauta,4
ElmerFigueroa,4
Neither-Raise,4
GinTonicWithCucumber,4
TukamiD,4
_calicocats,4
sfl_,4
Vrenks,4
quenchy-cactus-juice,4
Miguelonchox,4
elmati3,4
Conjo_,4
Aliwen_,4
slaucsap,3
that_lonely_bi,3
Cl_z0mb1e,3
bloodybastard1,3
3v1lrob07,3
Geddoe_,3
Spirited_Profile8571,3
chosen_carrot,3
Pheraly,3
2572tokio,3
Sureno_cl,3
Fidozip,3
888ecoP,3
hazweio,3
Cabg10,3
LunarrCat,3
RNGesus_cultist,3
allhailpalta,3
TheOshunOxtra,3
Quetetris,3
Azzaeta,3
notquiteteemo,3
gidive,3
man7asa,3
Kambrica,3
RandyCoxburn,3
ph21,3
murloc_reporonga,3
Tarbolinx,3
kaysequieremorir,3
IdDKimBored,3
luchoventas,3
MitzioxD,3
NNorAl,3
Front-Concept-9441,3
Updooting_on_New,3
undergroundbynature,2
Paulol1,2
calamicas,2
Gudrobilk,2
Locoql,2
Acrobatic-Artist9730,2
CaptainRicOlie,2
Delirium_Cap,2
Edgefish,2
La_Jo,2
PatricioDonald,2
HirumaBSK,2
agitazione,2
Puzzleheaded_Tutor_1,2
beswervie,2
wiltedpleasure,2
leamd,2
Illustrious-Ad3170,2
kamikazewam,2
Txstage,2
hcarrasko,2
Chihayafuruco,2
qsmpm,2
chanchoextremo,2
thealterlion,2
ThirdPartyAPI,2
jipjapjup,2
InfinityRoundCycle,2
SeptemFan,2
Euclid_Class_Object,2
Tierrrez,2
P-Pablo,2
XJpablo,2
fukami-rose,2
Desprolijo,2
Apprehensive-Shop471,2
AutonomieSV,2
kadriko05,2
Manomana-cl,2
Alert-Equivalent1392,2
emp_sisterfister,2
NY38,2
yaiay,2
Thc500,2
LagartoJuansho,2
Nice-Distribution526,2
LittleKurwa,2
0x00cl,2
fernixo22,2
chkdsk_7,2
Perriwashi,2
javier23,2
Xaerin,2
TBeauty_,2
Maur0,2
WhoKnowsWhatMatters,2
Sirenitururu,2
CantThink_ANick,2
tomgz78,2
Khaeliz,2
Vichox,2
Sancolun,2
coderch123,2
nabets3,2
mayocaserarica,2
boredbears19,1
Albertonity,1
FrugeleDealer,1
29074313,1
LaOreoNostra,1
Cottorums,1
pipexclon,1
Acto_Zero,1
AutisticMoai,1
Papaya_Baobab,1
realidadg,1
Ruganko,1
DontKnowHowToEnglish,1
BeWolk,1
FatFingerHelperBot,1
RemindMeBot,1
admiral7311,1
TheJFGB93,1
A_espa,1
LZV590,1
leaf-house,1
Wokiwoki5,1
ElMichaelScott,1
estoyenlab,1
Ok_Refrigerator1433,1
FaithlessnessDry1839,1
hombrx,1
sfitdhomlatcg,1
ReyChurrasco,1
Ali_Abril,1
Proyeccionista,1
ghostman20,1
stubborn-koala,1
iloveseries_,1
Blubari,1
